draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
8,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4717929882.674561
8,Universal (All Ages),0.8,1.1,0.1,4067783966.7446413
8,All Adults (18+),0.8,1.1,0.1,20216727.23775786
8,No Vaccination,0.8,1.1,0.1,12969004486.61854
9,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4447190945.265073
9,Universal (All Ages),0.8,1.1,0.1,3849029225.416644
9,All Adults (18+),0.8,1.1,0.1,19161087.30352658
9,No Vaccination,0.8,1.1,0.1,12226558050.793072
10,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4973149776.003534
10,Universal (All Ages),0.8,1.1,0.1,4300858222.864784
10,All Adults (18+),0.8,1.1,0.1,21458224.26984421
10,No Vaccination,0.8,1.1,0.1,13673092806.9073
1,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4492372691.4640045
1,Universal (All Ages),0.9,1.1,0.1,2788263066.7800794
1,All Adults (18+),0.9,1.1,0.1,19404274.956327982
1,No Vaccination,0.9,1.1,0.1,12351602237.761532
2,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4918411476.501129
2,Universal (All Ages),0.9,1.1,0.1,3055866786.533056
2,All Adults (18+),0.9,1.1,0.1,21256015.036752183
2,No Vaccination,0.9,1.1,0.1,13523175443.320559
3,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,5175473961.558749
3,Universal (All Ages),0.9,1.1,0.1,3260891796.315575
3,All Adults (18+),0.9,1.1,0.1,22180607.911997512
3,No Vaccination,0.9,1.1,0.1,14226792118.705702
4,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4567041666.200583
4,Universal (All Ages),0.9,1.1,0.1,2790192828.481213
4,All Adults (18+),0.9,1.1,0.1,19644751.52879004
4,No Vaccination,0.9,1.1,0.1,12555503031.400953
5,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,5135289835.345533
5,Universal (All Ages),0.9,1.1,0.1,3192956763.4018083
5,All Adults (18+),0.9,1.1,0.1,22018487.85059076
5,No Vaccination,0.9,1.1,0.1,14116502633.9515
6,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,6064995060.492657
6,Universal (All Ages),0.9,1.1,0.1,3783679031.7315884
6,All Adults (18+),0.9,1.1,0.1,25876263.779303737
6,No Vaccination,0.9,1.1,0.1,16669997683.97819
7,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,5336450833.519616
7,Universal (All Ages),0.9,1.1,0.1,3340767098.6472106
7,All Adults (18+),0.9,1.1,0.1,22839987.651236847
7,No Vaccination,0.9,1.1,0.1,14668779037.580267
8,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4717929882.674561
8,Universal (All Ages),0.9,1.1,0.1,2955131401.7604046
8,All Adults (18+),0.9,1.1,0.1,20216727.23775786
8,No Vaccination,0.9,1.1,0.1,12969004486.61854
9,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4447190945.265073
9,Universal (All Ages),0.9,1.1,0.1,2801838122.244591
9,All Adults (18+),0.9,1.1,0.1,19161087.30352658
9,No Vaccination,0.9,1.1,0.1,12226558050.793072
10,JCVI Spring 2025 (75+ only),0.9,1.1,0.1,4973149776.003534
10,Universal (All Ages),0.9,1.1,0.1,3129328899.8594694
10,All Adults (18+),0.9,1.1,0.1,21458224.26984421
10,No Vaccination,0.9,1.1,0.1,13673092806.9073
1,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4492372691.4640045
1,Universal (All Ages),0.95,1.1,0.1,2256966446.169999
1,All Adults (18+),0.95,1.1,0.1,19404274.956327982
1,No Vaccination,0.95,1.1,0.1,12351602237.761532
2,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4918411476.501129
2,Universal (All Ages),0.95,1.1,0.1,2474349638.9337506
2,All Adults (18+),0.95,1.1,0.1,21256015.036752183
2,No Vaccination,0.95,1.1,0.1,13523175443.320559
3,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,5175473961.558749
3,Universal (All Ages),0.95,1.1,0.1,2651675111.7383466
3,All Adults (18+),0.95,1.1,0.1,22180607.911997512
3,No Vaccination,0.95,1.1,0.1,14226792118.705702
4,JCVI Spring 2025 (75+ only),0.95,1.1,0.1,4567041666.200583
4,Universal (All Ages),0.95,1.1,0.1,2247675594.9856725
