policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
No Vaccination,0.8,0.0361,central,0.30000000000000004,0.2,3706676591.977878
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.30000000000000004,0.2,1352818073.9905684
Universal (All Ages),0.9,0.0361,central,0.30000000000000004,0.2,593475411.5489678
All Adults (18+),0.9,0.0361,central,0.30000000000000004,0.2,17362718.071457434
No Vaccination,0.9,0.0361,central,0.30000000000000004,0.2,3706676591.977878
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.30000000000000004,0.2,1352818073.9905684
Universal (All Ages),0.95,0.0361,central,0.30000000000000004,0.2,420519790.4140285
All Adults (18+),0.95,0.0361,central,0.30000000000000004,0.2,17362718.071457434
No Vaccination,0.95,0.0361,central,0.30000000000000004,0.2,3706676591.977878
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.4,0.2,1792041172.5928242
Universal (All Ages),0.8,0.0361,central,0.4,0.2,1326616868.5915182
All Adults (18+),0.8,0.0361,central,0.4,0.2,17805756.955315847
No Vaccination,0.8,0.0361,central,0.4,0.2,4915666442.117298
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.4,0.2,1792041172.5928242
Universal (All Ages),0.9,0.0361,central,0.4,0.2,877985671.9007959
All Adults (18+),0.9,0.0361,central,0.4,0.2,17805756.955315847
No Vaccination,0.9,0.0361,central,0.4,0.2,4915666442.117298
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.4,0.2,1792041172.5928242
Universal (All Ages),0.95,0.0361,central,0.4,0.2,653670073.5554348
All Adults (18+),0.95,0.0361,central,0.4,0.2,17805756.955315847
No Vaccination,0.95,0.0361,central,0.4,0.2,4915666442.117298
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.5,0.2,2231264271.1950808
Universal (All Ages),0.8,0.0361,central,0.5,0.2,1713847083.36419
All Adults (18+),0.8,0.0361,central,0.5,0.2,18248795.839174256
No Vaccination,0.8,0.0361,central,0.5,0.2,6124656292.25672
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.5,0.2,2231264271.1950808
Universal (All Ages),0.9,0.0361,central,0.5,0.2,1162495932.252624
